City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
150,tosontsengel,48.7567,98.2839,19.83,66,49,5.82,MN,1691569821
151,ust'-ilimsk,58.0006,102.6619,24.69,57,92,0.78,RU,1691569821
152,shohimardon,39.9839,71.8028,27.43,31,0,4.35,UZ,1691569822
153,gudalur,9.6833,77.2667,31.4,49,100,3.88,IN,1691569822
154,lauro de freitas,-12.8944,-38.3272,26.01,73,75,6.17,BR,1691569822
155,kailua-kona,19.6406,-155.9956,29.22,80,100,4.12,US,1691569822
156,lerwick,60.1545,-1.1494,11.0,75,99,14.03,GB,1691569822
157,lebu,-37.6167,-73.65,11.33,73,100,4.81,CL,1691569823
158,bratsk,56.1325,101.6142,22.27,61,100,1.31,RU,1691569823
159,sao felipe,-14.8167,-41.3833,20.1,71,92,4.22,BR,1691569823
160,talnakh,69.4865,88.3972,20.67,35,41,4.01,RU,1691569823
161,virac,13.6333,124.2167,26.93,72,44,2.63,PH,1691569823
162,pizarro,4.9533,-77.366,25.29,90,100,1.57,CO,1691569824
163,brookings,44.3114,-96.7984,16.7,100,0,1.54,US,1691569732
164,akrehamn,59.2667,5.1833,11.9,93,75,8.75,NO,1691569824
165,uyovu,-3.2833,31.5258,28.17,27,18,3.13,TZ,1691569824
166,constantia,44.1833,28.65,25.39,49,0,5.71,RO,1691569824
167,tiksi,71.6872,128.8694,19.28,42,14,3.23,RU,1691569825
168,cannonvale,-20.2833,148.7,19.66,78,88,7.79,AU,1691569825
169,veraval,20.9,70.3667,28.3,78,100,7.67,IN,1691569825
170,jodiya bandar,22.7167,70.2833,29.63,72,100,10.34,IN,1691569825
171,hotan,37.0997,79.9269,34.92,14,61,4.0,CN,1691569826
172,boa vista,2.8197,-60.6733,24.99,88,40,1.54,BR,1691569732
173,crane,31.3974,-102.3501,28.81,31,28,4.76,US,1691569826
174,iskateley,67.6803,53.1512,22.24,47,20,2.98,RU,1691569826
175,kovdor,67.5662,30.4758,22.83,58,4,3.13,RU,1691569826
176,colonia,50.9333,6.95,18.79,79,40,2.06,DE,1691569764
177,ridgecrest,35.6225,-117.6709,27.92,17,0,4.63,US,1691569708
178,ceeldheer,3.8488,47.1806,29.6,56,35,10.76,SO,1691569827
179,buka,40.8108,69.1986,39.94,13,0,4.13,UZ,1691569827
180,badger,64.8,-147.5333,16.95,95,100,1.54,US,1691569827
181,nuuk,64.1835,-51.7216,3.34,100,100,1.54,GL,1691569827
182,shingu,33.7333,135.9833,26.92,93,44,3.25,JP,1691569828
183,uturoa,-16.7333,-151.4333,25.83,77,95,8.82,PF,1691569761
184,island harbour,50.724,-1.2758,20.26,89,99,0.45,GB,1691569828
185,akureyri,65.6835,-18.0878,5.96,81,75,0.0,IS,1691569828
186,wildwood,38.5828,-90.6629,22.09,92,2,1.27,US,1691569629
187,nadym,65.5333,72.5167,14.97,41,63,12.11,RU,1691569828
188,jiangyou,31.7667,104.7167,30.6,73,49,1.45,CN,1691569829
189,utrik,11.2278,169.8474,28.6,76,27,6.15,MH,1691569742
190,richards bay,-28.783,32.0377,21.22,73,58,6.14,ZA,1691569829
191,gannan,47.9147,123.5031,19.14,84,100,4.82,CN,1691569829
192,vorgashor,67.5833,63.95,10.88,67,100,2.57,RU,1691569829
193,kijang,35.2442,129.2139,24.85,96,100,10.44,KR,1691569830
194,sola,-13.8833,167.55,24.05,86,100,10.35,VU,1691569830
195,likhoslavl',57.1275,35.464,23.76,51,75,3.07,RU,1691569830
196,kapuskasing,49.4169,-82.4331,15.05,100,20,3.09,CA,1691569757
197,barentu,15.1139,37.5928,26.34,63,51,3.37,ER,1691569830
198,rio grande,-32.035,-52.0986,14.41,78,100,8.46,BR,1691569830
199,al kharijah,25.4514,30.5464,38.25,22,0,4.73,EG,1691569830
200,vilyuysk,63.7553,121.6247,26.29,26,1,4.45,RU,1691569627
